Transaction_Amount,Transaction_Type,Time_of_Transaction,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Device_Used,Fraudulent
3793.71,Bill Payment,12.0,Boston,1,113,7,Debit Card,Mobile,0
3150.88,Bank Transfer,23.0,Boston,2,117,10,Net Banking,Unknown Device,0
2163.23,Bill Payment,18.0,Miami,0,109,13,Net Banking,Desktop,0
3773.73,Bill Payment,23.0,Seattle,0,102,2,Credit Card,Tablet,0
237.08,Online Purchase,5.0,Miami,2,117,3,Debit Card,Mobile,0
1411.15,Online Purchase,11.0,Chicago,1,108,9,Credit Card,Desktop,0
1301.92,ATM Withdrawal,1.0,Houston,2,74,3,UPI,Desktop,0
399.81,ATM Withdrawal,13.0,Boston,0,43,10,UPI,Mobile,0
1754.08,Online Purchase,3.0,Seattle,3,3,8,Debit Card,Tablet,0
2379.28,ATM Withdrawal,15.0,Miami,1,82,12,Net Banking,Desktop,0
4070.95,Bank Transfer,14.0,Houston,1,86,9,Debit Card,Tablet,0
407.61,Bank Transfer,2.0,San Francisco,0,83,14,Credit Card,Desktop,0
4288.44,ATM Withdrawal,12.0,Chicago,4,72,8,UPI,Tablet,1
3565.06,Online Purchase,11.0,New York,0,64,1,Debit Card,Mobile,0
4087.91,ATM Withdrawal,1.0,Seattle,3,26,4,UPI,Mobile,0
3315.72,Bill Payment,23.0,Houston,4,37,13,Credit Card,Desktop,0
2001.01,POS Payment,21.0,Los Angeles,2,60,3,Net Banking,Mobile,0
2146.42,Bill Payment,8.0,New York,1,88,7,UPI,Tablet,0
2244.54,ATM Withdrawal,19.0,Houston,3,96,2,Credit Card,Mobile,0
4687.51,POS Payment,21.0,New York,3,14,13,UPI,Desktop,0
2639.28,POS Payment,6.0,New York,0,109,8,Credit Card,Tablet,0
2455.26,POS Payment,2.0,Houston,1,84,2,Net Banking,Desktop,0
146.2,Online Purchase,12.0,San Francisco,4,25,4,Credit Card,Tablet,0
2946.55,ATM Withdrawal,16.0,Miami,3,56,9,UPI,Mobile,1
2111.68,Online Purchase,6.0,Houston,3,101,8,Debit Card,Desktop,0
312.88,POS Payment,13.0,Boston,3,61,14,Net Banking,Desktop,0
1967.77,Bank Transfer,2.0,Chicago,4,26,2,Credit Card,Mobile,0
2509.59,Bill Payment,7.0,Boston,1,59,3,Net Banking,Tablet,0
4096.2,Bank Transfer,4.0,Miami,4,65,4,Debit Card,Mobile,0
4012.11,Bank Transfer,12.0,Seattle,1,84,5,UPI,Mobile,0
670.91,ATM Withdrawal,23.0,Boston,1,46,7,Net Banking,Tablet,0
3753.4,POS Payment,15.0,Miami,3,5,10,UPI,Desktop,0
4892.37,POS Payment,12.0,Miami,4,43,4,Credit Card,Mobile,0
4573.07,POS Payment,10.0,Boston,0,65,9,Debit Card,Tablet,0
3603.45,POS Payment,13.0,Chicago,1,15,1,Net Banking,Tablet,0
451.58,ATM Withdrawal,23.0,New York,0,27,9,Credit Card,Tablet,0
436.23,Bill Payment,2.0,Boston,2,101,9,Net Banking,Desktop,0
3490.4,POS Payment,6.0,San Francisco,1,104,1,Net Banking,Mobile,0
4756.93,Online Purchase,17.0,Chicago,3,53,3,UPI,Mobile,0
4824.08,Bank Transfer,2.0,Chicago,1,101,6,Debit Card,Desktop,0
2150.39,Bank Transfer,2.0,Boston,2,90,5,Credit Card,Desktop,0
2679.94,Bill Payment,22.0,Houston,0,35,8,UPI,Unknown Device,0
4357.19,Bill Payment,4.0,Chicago,1,38,6,Net Banking,Mobile,0
943.27,POS Payment,19.0,Houston,2,58,11,Net Banking,Mobile,0
4284.55,ATM Withdrawal,12.0,Los Angeles,2,90,9,UPI,Tablet,0
4375.52,ATM Withdrawal,13.0,Miami,1,107,10,Credit Card,Tablet,0
1779.51,Online Purchase,0.0,Houston,2,90,2,Net Banking,Tablet,0
3433.69,POS Payment,16.0,Boston,3,76,11,Credit Card,Desktop,0
470.53,ATM Withdrawal,11.0,Miami,3,117,3,UPI,Desktop,0
1379.61,Bill Payment,12.0,Houston,3,84,6,Debit Card,Tablet,0
255.64,Online Purchase,22.0,Los Angeles,4,85,14,Net Banking,Tablet,0
2225.59,Bank Transfer,19.0,Boston,4,23,1,Debit Card,Tablet,0
469.39,Bill Payment,17.0,Chicago,1,5,14,Debit Card,Desktop,0
911.38,POS Payment,12.0,Miami,2,117,9,UPI,Mobile,0
1278.11,ATM Withdrawal,4.0,San Francisco,4,24,8,Debit Card,Mobile,0
4340.78,Bill Payment,18.0,Los Angeles,4,85,13,Debit Card,Tablet,0
3813.72,Bank Transfer,0.0,Seattle,3,89,14,UPI,Desktop,0
3973.37,Online Purchase,8.0,Seattle,0,116,3,Credit Card,Desktop,0
49997.8,Bill Payment,16.0,Houston,1,117,9,Debit Card,Unknown Device,0
4273.27,POS Payment,6.0,Los Angeles,0,31,14,Credit Card,Tablet,0
2097.05,ATM Withdrawal,8.0,Chicago,0,86,4,Credit Card,Mobile,0
2553.7,POS Payment,11.0,San Francisco,0,81,4,UPI,Mobile,0
885.67,ATM Withdrawal,14.0,Los Angeles,4,27,10,Debit Card,Desktop,0
3461.61,Bank Transfer,22.0,Seattle,3,77,12,Debit Card,Unknown Device,0
4185.42,POS Payment,13.0,Los Angeles,4,110,7,Credit Card,Mobile,0
3496.88,ATM Withdrawal,17.0,Chicago,2,98,5,Debit Card,Mobile,0
1484.82,Online Purchase,20.0,Boston,3,1,11,Credit Card,Desktop,0
3788.74,Bank Transfer,2.0,San Francisco,3,100,11,Debit Card,Mobile,0
1648.05,ATM Withdrawal,1.0,Seattle,2,56,5,UPI,Unknown Device,0
4345.98,Bank Transfer,1.0,Boston,4,8,5,Debit Card,Tablet,0
2633.39,ATM Withdrawal,19.0,New York,4,108,14,UPI,Tablet,0
703.46,Bank Transfer,3.0,Seattle,4,79,7,Credit Card,Tablet,0
3764.66,Online Purchase,7.0,Houston,3,49,9,Credit Card,Unknown Device,0
3249.95,Bank Transfer,13.0,Chicago,1,60,3,Net Banking,Desktop,0
2458.18,Bank Transfer,7.0,Chicago,2,28,14,Debit Card,Mobile,0
1585.47,ATM Withdrawal,7.0,Houston,0,36,14,Credit Card,Tablet,0
2383.37,Bank Transfer,18.0,Miami,0,89,14,Net Banking,Desktop,0
2360.33,Bill Payment,9.0,Houston,1,112,2,Net Banking,Mobile,0
4430.04,POS Payment,0.0,Miami,2,28,1,Credit Card,Desktop,0
3947.52,Online Purchase,13.0,Seattle,0,9,4,Credit Card,Mobile,0
3550.95,Bank Transfer,23.0,Los Angeles,3,98,5,Net Banking,Mobile,0
4717.8,Online Purchase,13.0,Los Angeles,1,99,9,UPI,Desktop,0
2242.26,ATM Withdrawal,3.0,Los Angeles,0,48,9,Credit Card,Mobile,0
3131.25,ATM Withdrawal,14.0,New York,0,70,8,Credit Card,Desktop,1
3643.85,POS Payment,2.0,Seattle,4,97,1,UPI,Tablet,0
363.36,Online Purchase,6.0,Los Angeles,0,114,4,UPI,Mobile,0
2004.01,Bill Payment,5.0,Seattle,0,84,5,Credit Card,Desktop,0
1545.29,POS Payment,18.0,Chicago,2,34,7,UPI,Desktop,0
3131.79,Bill Payment,4.0,New York,4,6,13,Debit Card,Desktop,0
4175.49,POS Payment,3.0,Miami,4,5,12,Debit Card,Tablet,0
2414.18,Online Purchase,10.0,Houston,1,71,11,Credit Card,Tablet,0
4132.33,POS Payment,7.0,Chicago,3,104,5,Credit Card,Tablet,0
3026.02,ATM Withdrawal,16.0,Houston,2,31,5,Credit Card,Tablet,0
4869.32,Bank Transfer,22.0,Seattle,2,118,9,Net Banking,Tablet,1
1076.77,Bill Payment,22.0,San Francisco,1,104,11,Net Banking,Mobile,0
2428.64,Bill Payment,15.0,Miami,1,6,5,Debit Card,Desktop,0
533.62,POS Payment,22.0,Chicago,1,18,8,UPI,Tablet,0
3859.64,Bill Payment,16.0,Seattle,2,15,1,Net Banking,Desktop,0
2289.94,Bank Transfer,1.0,Miami,3,119,13,Debit Card,Desktop,0
1538.9,POS Payment,16.0,Seattle,3,20,5,Credit Card,Tablet,0
1750.83,Online Purchase,2.0,Los Angeles,0,54,2,UPI,Tablet,0
3124.31,Bill Payment,16.0,Los Angeles,0,17,13,UPI,Desktop,0
4841.87,ATM Withdrawal,18.0,San Francisco,2,53,5,UPI,Desktop,0
4237.9,ATM Withdrawal,23.0,Houston,3,105,1,Debit Card,Tablet,0
1343.14,Bill Payment,5.0,Miami,3,41,3,Credit Card,Mobile,0
1652.61,Bank Transfer,16.0,Boston,0,99,4,Debit Card,Mobile,0
1197.8,POS Payment,14.0,Chicago,2,44,2,UPI,Desktop,0
1421.32,POS Payment,15.0,Miami,4,60,11,UPI,Desktop,0
4950.22,Bank Transfer,10.0,Seattle,4,74,1,Net Banking,Desktop,0
4787.91,POS Payment,12.0,Los Angeles,1,104,14,Credit Card,Desktop,0
3918.26,Bank Transfer,22.0,Los Angeles,0,78,9,Credit Card,Tablet,0
2376.03,Bank Transfer,10.0,Miami,0,97,14,Credit Card,Mobile,0
3857.55,POS Payment,5.0,Seattle,2,76,4,Debit Card,Desktop,0
2089.44,Online Purchase,16.0,New York,3,61,8,Credit Card,Unknown Device,0
3629.13,Bank Transfer,10.0,Miami,0,72,12,Debit Card,Mobile,0
3292.9,Bill Payment,1.0,Miami,0,85,12,Debit Card,Mobile,0
3603.02,Bill Payment,10.0,San Francisco,4,56,5,Net Banking,Unknown Device,0
2189.66,ATM Withdrawal,14.0,Houston,2,32,12,Credit Card,Desktop,0
2500.56,ATM Withdrawal,10.0,San Francisco,3,108,9,Credit Card,Desktop,0
289.96,Bank Transfer,11.0,Miami,1,19,11,Debit Card,Mobile,0
2597.65,ATM Withdrawal,21.0,Los Angeles,0,4,4,Credit Card,Mobile,0
49997.8,ATM Withdrawal,22.0,Miami,1,79,14,UPI,Desktop,0
3481.88,Bank Transfer,9.0,Miami,4,20,7,Credit Card,Tablet,0
1455.12,Online Purchase,15.0,Chicago,2,96,2,UPI,Tablet,0
4392.55,Bank Transfer,20.0,San Francisco,4,22,6,Net Banking,Tablet,0
3124.8,POS Payment,0.0,San Francisco,0,9,7,Credit Card,Tablet,0
1563.63,ATM Withdrawal,3.0,Los Angeles,0,82,9,UPI,Desktop,0
428.03,Bank Transfer,6.0,Miami,0,4,9,UPI,Desktop,1
3367.81,Online Purchase,4.0,San Francisco,4,62,8,Credit Card,Mobile,0
3390.18,Online Purchase,7.0,Boston,2,69,6,Credit Card,Desktop,0
1483.08,ATM Withdrawal,10.0,Los Angeles,0,48,6,Debit Card,Desktop,0
3157.08,Bank Transfer,20.0,Chicago,3,77,1,UPI,Tablet,0
4113.99,Bill Payment,3.0,Miami,3,90,12,Net Banking,Desktop,0
2888.46,Online Purchase,12.0,Houston,0,30,11,UPI,Desktop,0
2640.13,ATM Withdrawal,9.0,San Francisco,4,61,7,Debit Card,Mobile,0
4409.22,Bank Transfer,18.0,Los Angeles,0,41,11,Debit Card,Tablet,0
2388.56,Bill Payment,3.0,Chicago,4,43,5,Debit Card,Tablet,0
4992.91,Bank Transfer,8.0,Boston,2,79,8,Credit Card,Unknown Device,0
2608.94,POS Payment,15.0,Seattle,0,43,9,Net Banking,Desktop,0
774.84,Bill Payment,21.0,Los Angeles,2,91,14,Net Banking,Tablet,0
3061.65,Bill Payment,7.0,Houston,3,94,8,Net Banking,Mobile,0
3392.44,POS Payment,19.0,Los Angeles,3,34,1,Debit Card,Desktop,0
2073.13,ATM Withdrawal,7.0,Seattle,3,90,3,Credit Card,Desktop,0
4891.22,POS Payment,6.0,Chicago,2,31,3,UPI,Tablet,0
3888.18,Online Purchase,3.0,Seattle,0,117,12,Credit Card,Mobile,0
3617.1,Bank Transfer,9.0,San Francisco,0,113,3,UPI,Mobile,0
882.37,Online Purchase,22.0,Seattle,4,104,7,Credit Card,Mobile,0
338.34,POS Payment,13.0,Houston,4,47,3,Debit Card,Tablet,0
4027.13,ATM Withdrawal,9.0,New York,0,56,4,Net Banking,Desktop,0
164.14,Bank Transfer,23.0,Houston,4,7,9,Credit Card,Desktop,0
1787.22,Bill Payment,7.0,Seattle,2,52,11,Credit Card,Mobile,0
4150.6,ATM Withdrawal,5.0,San Francisco,1,25,11,Credit Card,Tablet,0
1573.62,POS Payment,23.0,Seattle,0,41,4,Credit Card,Tablet,0
906.78,POS Payment,9.0,New York,1,110,1,Debit Card,Desktop,0
3390.73,POS Payment,16.0,Boston,2,100,6,Debit Card,Desktop,0
1463.67,POS Payment,14.0,Seattle,1,51,13,Credit Card,Desktop,0
361.1,Online Purchase,17.0,Los Angeles,4,100,5,Net Banking,Desktop,0
783.65,ATM Withdrawal,11.0,San Francisco,4,3,2,Credit Card,Tablet,0
3198.08,ATM Withdrawal,6.0,Miami,1,57,13,Debit Card,Desktop,0
1550.31,Bill Payment,10.0,New York,1,23,7,Credit Card,Mobile,0
666.1,POS Payment,12.0,Houston,4,78,13,UPI,Tablet,0
306.96,Bill Payment,22.0,Miami,4,73,10,Net Banking,Mobile,0
3798.7,POS Payment,3.0,Chicago,1,57,6,UPI,Mobile,0
4848.68,ATM Withdrawal,10.0,New York,1,102,14,Credit Card,Desktop,0
1468.85,POS Payment,5.0,Los Angeles,0,59,5,Debit Card,Mobile,0
4186.72,Bill Payment,13.0,Chicago,4,47,5,Net Banking,Desktop,0
3117.9,Online Purchase,5.0,Seattle,2,41,13,Net Banking,Desktop,0
3500.96,Online Purchase,15.0,Chicago,1,80,11,Net Banking,Desktop,0
2181.9,Bill Payment,20.0,New York,1,108,14,Credit Card,Tablet,0
49997.8,Online Purchase,12.0,Boston,0,63,6,Credit Card,Mobile,0
1067.72,Online Purchase,19.0,Miami,4,91,5,Net Banking,Tablet,0
1671.53,POS Payment,5.0,Boston,3,106,13,Credit Card,Mobile,0
49997.8,ATM Withdrawal,23.0,San Francisco,4,52,4,Invalid Method,Tablet,1
2961.22,ATM Withdrawal,12.0,New York,4,62,4,Credit Card,Mobile,0
3168.34,Bill Payment,7.0,Houston,1,94,11,Net Banking,Mobile,0
693.15,ATM Withdrawal,1.0,Los Angeles,2,48,4,Credit Card,Tablet,0
2784.07,Online Purchase,8.0,Los Angeles,2,2,14,Net Banking,Tablet,0
2882.81,Bank Transfer,11.0,Houston,3,113,12,Debit Card,Mobile,0
3312.26,ATM Withdrawal,6.0,Chicago,1,38,12,UPI,Tablet,0
2518.1,ATM Withdrawal,2.0,Chicago,4,72,7,Debit Card,Tablet,0
3303.54,Online Purchase,14.0,Chicago,3,82,11,Debit Card,Mobile,0
794.45,Bank Transfer,14.0,Boston,0,34,14,Debit Card,Unknown Device,0
3458.55,ATM Withdrawal,23.0,Seattle,2,115,7,UPI,Mobile,0
4372.13,Bill Payment,15.0,Miami,4,9,6,Credit Card,Desktop,0
519.1,POS Payment,9.0,New York,3,83,3,Debit Card,Mobile,0
3078.52,ATM Withdrawal,13.0,San Francisco,0,50,3,Debit Card,Tablet,0
2418.2,Bank Transfer,6.0,Chicago,2,39,11,Debit Card,Desktop,0
2339.88,Bill Payment,19.0,Seattle,1,24,11,Credit Card,Desktop,0
379.01,Bank Transfer,15.0,New York,0,21,6,Debit Card,Tablet,0
2216.35,Bank Transfer,4.0,New York,0,70,8,Debit Card,Unknown Device,0
3621.18,Bank Transfer,10.0,Los Angeles,3,8,9,Debit Card,Tablet,0
4772.63,Bank Transfer,5.0,New York,0,2,12,UPI,Desktop,0
2871.61,POS Payment,1.0,Houston,1,72,10,Debit Card,Desktop,0
1965.29,Bill Payment,11.0,Seattle,0,80,4,Credit Card,Desktop,0
4180.81,Bank Transfer,3.0,San Francisco,2,14,4,Credit Card,Mobile,0
4700.64,POS Payment,10.0,Chicago,0,43,10,Debit Card,Mobile,0
52.57,ATM Withdrawal,0.0,Boston,0,48,14,Credit Card,Tablet,0
925.26,Bill Payment,15.0,Chicago,0,74,10,Debit Card,Mobile,0
1474.28,Bank Transfer,4.0,Seattle,0,77,13,Net Banking,Tablet,0
1198.04,POS Payment,18.0,Houston,0,74,11,Debit Card,Mobile,0
4633.11,Bank Transfer,2.0,Seattle,1,99,6,UPI,Desktop,0
421.88,Bill Payment,14.0,Seattle,4,71,5,Debit Card,Tablet,0
1431.41,Bill Payment,2.0,San Francisco,0,31,1,UPI,Desktop,0
1816.72,Bill Payment,12.0,Los Angeles,4,42,10,Credit Card,Mobile,0
4503.33,Bill Payment,7.0,San Francisco,2,110,6,UPI,Tablet,0
2379.23,Online Purchase,1.0,Boston,4,30,1,UPI,Mobile,1
1925.38,Bill Payment,2.0,San Francisco,3,38,14,Credit Card,Unknown Device,0
483.83,Bank Transfer,6.0,Seattle,2,11,10,Debit Card,Mobile,0
1112.34,Bill Payment,4.0,Chicago,3,81,3,Net Banking,Mobile,0
1086.65,Bill Payment,19.0,Seattle,0,117,14,UPI,Mobile,0
3901.17,Bank Transfer,12.0,San Francisco,1,83,8,Credit Card,Desktop,0
1443.28,ATM Withdrawal,22.0,Chicago,0,89,6,Net Banking,Desktop,0
4670.99,POS Payment,10.0,Houston,1,47,3,Debit Card,Tablet,0
322.44,Online Purchase,17.0,Miami,3,15,4,Net Banking,Desktop,0
2390.54,POS Payment,0.0,Seattle,2,80,9,Net Banking,Mobile,0
4948.06,Online Purchase,0.0,San Francisco,2,18,7,UPI,Desktop,0
49997.8,Bank Transfer,3.0,Houston,1,115,1,Credit Card,Tablet,0
404.37,Bank Transfer,20.0,San Francisco,0,112,9,Credit Card,Mobile,0
2702.73,Bank Transfer,23.0,Miami,2,78,10,Net Banking,Tablet,1
1023.59,Bank Transfer,14.0,Seattle,4,78,10,Net Banking,Desktop,0
4889.14,POS Payment,10.0,Boston,4,72,14,Net Banking,Desktop,0
3652.76,Bill Payment,3.0,Houston,2,58,11,UPI,Desktop,0
4022.34,Bank Transfer,14.0,Los Angeles,1,18,3,Net Banking,Tablet,0
2218.86,Online Purchase,22.0,Seattle,2,7,14,UPI,Desktop,0
64.14,POS Payment,4.0,Houston,4,78,3,UPI,Tablet,0
2121.66,Bill Payment,5.0,Los Angeles,2,90,14,Credit Card,Tablet,0
1836.57,Online Purchase,20.0,Los Angeles,1,23,5,Debit Card,Desktop,0
137.21,Online Purchase,3.0,Miami,2,108,3,Credit Card,Tablet,0
1121.0,Online Purchase,7.0,Seattle,3,53,6,UPI,Desktop,0
1841.03,Bill Payment,3.0,New York,0,65,1,Credit Card,Desktop,0
4619.92,ATM Withdrawal,2.0,New York,4,71,7,Credit Card,Tablet,0
1998.69,Bank Transfer,7.0,Boston,0,13,5,Debit Card,Mobile,0
2548.56,Online Purchase,23.0,Boston,0,38,10,UPI,Mobile,0
479.72,Bill Payment,17.0,San Francisco,0,65,12,UPI,Desktop,0
4663.33,POS Payment,15.0,Chicago,3,35,6,UPI,Mobile,1
831.02,ATM Withdrawal,23.0,Houston,0,21,5,Credit Card,Desktop,0
3371.52,Online Purchase,1.0,New York,0,114,1,Net Banking,Mobile,0
4425.91,ATM Withdrawal,3.0,Seattle,3,108,10,UPI,Mobile,0
1161.07,Bill Payment,8.0,New York,0,10,4,Credit Card,Mobile,0
174.76,Bill Payment,6.0,Chicago,1,68,7,Debit Card,Desktop,0
3546.9,POS Payment,12.0,Miami,2,102,11,Credit Card,Desktop,0
200.88,Bank Transfer,18.0,Houston,0,62,7,Debit Card,Desktop,0
3490.25,Bank Transfer,21.0,Boston,0,28,1,Credit Card,Mobile,0
4998.66,Bank Transfer,17.0,Miami,4,80,7,UPI,Tablet,0
2785.19,Online Purchase,22.0,Miami,1,44,9,Credit Card,Desktop,0
4772.84,Online Purchase,2.0,Seattle,2,104,8,Net Banking,Tablet,0
4538.69,POS Payment,22.0,San Francisco,4,95,3,Debit Card,Mobile,0
2928.82,POS Payment,4.0,San Francisco,3,25,3,UPI,Desktop,0
2125.01,Bill Payment,8.0,San Francisco,4,77,13,Net Banking,Mobile,0
2022.69,Bank Transfer,9.0,Chicago,4,86,6,Net Banking,Mobile,0
4319.26,ATM Withdrawal,9.0,Houston,3,30,3,Net Banking,Tablet,0
2821.41,Bank Transfer,9.0,Boston,4,2,5,Debit Card,Mobile,0
3779.56,POS Payment,10.0,Chicago,2,52,8,UPI,Tablet,0
1854.13,ATM Withdrawal,7.0,Los Angeles,2,106,4,Net Banking,Tablet,0
2349.94,POS Payment,3.0,Houston,3,77,11,UPI,Tablet,0
126.72,Online Purchase,12.0,New York,0,31,14,Net Banking,Mobile,0
1388.34,Bill Payment,13.0,Los Angeles,0,89,12,Net Banking,Mobile,0
1924.53,Bill Payment,10.0,Boston,1,43,14,Invalid Method,Mobile,0
888.37,Bill Payment,10.0,Seattle,2,71,13,Credit Card,Mobile,0
2593.35,Bill Payment,9.0,San Francisco,1,84,2,UPI,Mobile,0
719.89,ATM Withdrawal,22.0,Seattle,0,84,4,Debit Card,Desktop,0
3149.3,Bill Payment,15.0,New York,1,14,4,Credit Card,Mobile,0
3953.46,Online Purchase,14.0,Boston,0,112,13,Net Banking,Tablet,0
1904.52,ATM Withdrawal,5.0,Los Angeles,1,12,13,Debit Card,Desktop,0
3888.48,Bank Transfer,0.0,Los Angeles,2,53,10,Net Banking,Mobile,0
1690.71,ATM Withdrawal,7.0,Boston,2,13,6,Debit Card,Mobile,0
1116.95,POS Payment,2.0,Boston,0,82,10,UPI,Tablet,1
1240.49,ATM Withdrawal,21.0,San Francisco,1,39,8,Debit Card,Tablet,0
3082.43,Online Purchase,3.0,San Francisco,3,65,1,Debit Card,Mobile,0
4406.24,Online Purchase,7.0,Seattle,0,77,12,UPI,Desktop,0
3917.57,POS Payment,18.0,Houston,1,113,13,Debit Card,Desktop,0
498.17,Bank Transfer,23.0,Los Angeles,1,31,13,Debit Card,Tablet,0
934.49,POS Payment,21.0,New York,0,99,14,Net Banking,Mobile,0
3839.76,Bank Transfer,23.0,New York,1,87,11,UPI,Tablet,0
15.92,Online Purchase,10.0,Miami,3,86,6,Debit Card,Tablet,0
4368.56,Bank Transfer,3.0,Seattle,2,85,14,Net Banking,Mobile,0
1493.69,Bill Payment,20.0,Boston,2,8,7,Debit Card,Desktop,0
755.83,POS Payment,14.0,New York,4,39,3,UPI,Desktop,0
537.12,POS Payment,11.0,Boston,0,111,3,Credit Card,Mobile,0
2265.39,Bill Payment,11.0,Houston,4,70,7,Credit Card,Mobile,1
639.24,Online Purchase,2.0,Chicago,0,5,1,Net Banking,Tablet,0
2247.08,Online Purchase,18.0,Houston,2,24,11,Debit Card,Mobile,0
1081.44,Online Purchase,4.0,San Francisco,2,64,9,Net Banking,Mobile,0
3876.47,Online Purchase,15.0,San Francisco,1,107,11,Debit Card,Tablet,0
1436.36,POS Payment,15.0,New York,4,68,13,UPI,Tablet,0
478.57,Bank Transfer,18.0,Seattle,2,5,8,UPI,Desktop,0
3290.48,Bank Transfer,19.0,Seattle,4,86,1,UPI,Mobile,1
4399.77,ATM Withdrawal,16.0,Houston,4,107,3,Credit Card,Tablet,0
3915.34,Online Purchase,3.0,Los Angeles,1,51,3,Credit Card,Mobile,0
1982.15,POS Payment,4.0,New York,2,109,11,Net Banking,Tablet,0
2926.5,Online Purchase,3.0,Houston,1,30,5,Net Banking,Mobile,0
2189.09,Bank Transfer,9.0,Boston,4,9,3,Net Banking,Mobile,0
4019.28,ATM Withdrawal,16.0,San Francisco,3,91,5,Credit Card,Desktop,0
2214.47,POS Payment,7.0,Seattle,3,63,12,Credit Card,Mobile,0
3387.96,Bank Transfer,16.0,Los Angeles,0,37,7,Net Banking,Mobile,0
185.73,Bill Payment,14.0,San Francisco,1,66,8,Debit Card,Desktop,0
4614.24,Online Purchase,2.0,Chicago,2,105,2,Net Banking,Desktop,0
4787.17,Bill Payment,4.0,Seattle,0,115,3,Debit Card,Tablet,0
3620.54,Bill Payment,23.0,Seattle,0,17,12,UPI,Mobile,0
138.9,POS Payment,14.0,Houston,3,97,6,Credit Card,Mobile,0
2777.96,Online Purchase,5.0,Boston,0,18,14,Debit Card,Tablet,0
325.44,ATM Withdrawal,10.0,Los Angeles,1,42,6,Net Banking,Mobile,0
68.33,Bank Transfer,1.0,Los Angeles,4,85,5,Debit Card,Desktop,0
1694.98,Bank Transfer,11.0,Miami,1,103,8,Invalid Method,Tablet,0
1568.55,Online Purchase,18.0,Seattle,0,108,14,UPI,Mobile,0
2607.64,POS Payment,14.0,Los Angeles,3,1,9,Net Banking,Desktop,0
2532.59,ATM Withdrawal,8.0,Miami,1,113,4,UPI,Desktop,0
4773.64,Bill Payment,3.0,Seattle,2,29,1,Net Banking,Tablet,0
670.91,ATM Withdrawal,7.0,San Francisco,4,98,7,UPI,Mobile,0
4725.51,ATM Withdrawal,4.0,Houston,2,64,9,Debit Card,Tablet,0
