Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
3044.46,Bill Payment,0.0,Unknown Device,Chicago,3,79,7,Credit Card,1
2894.14,Bill Payment,8.0,Mobile,San Francisco,2,93,2,UPI,1
727.02,Bank Transfer,8.0,Tablet,San Francisco,0,116,3,Net Banking,1
3056.43,ATM Withdrawal,21.0,Desktop,Boston,0,105,3,Credit Card,1
288.93,Online Purchase,6.0,Mobile,Boston,2,23,3,UPI,1
4960.35,Bank Transfer,15.0,Tablet,Chicago,4,52,12,UPI,1
2332.54,POS Payment,6.0,Mobile,Houston,1,95,8,Credit Card,1
1278.87,Bank Transfer,8.0,Desktop,Boston,4,113,6,Credit Card,1
1323.67,Bill Payment,9.0,Desktop,Los Angeles,3,84,5,Credit Card,1
4691.11,Online Purchase,18.0,Mobile,Boston,1,119,8,UPI,1
2760.06,Online Purchase,15.0,Desktop,Houston,1,117,3,Net Banking,1
1409.99,Online Purchase,16.0,Mobile,Chicago,0,33,10,Credit Card,1
4469.14,Bill Payment,13.0,Tablet,Miami,4,73,10,Debit Card,1
4772.18,ATM Withdrawal,18.0,Desktop,San Francisco,3,61,7,Credit Card,1
4934.22,Online Purchase,18.0,Tablet,Chicago,2,55,11,Credit Card,1
4938.28,Online Purchase,11.0,Desktop,Houston,1,115,9,UPI,1
3062.29,Bank Transfer,21.0,Tablet,Houston,0,12,5,Credit Card,1
4722.84,Bank Transfer,22.0,Mobile,Los Angeles,3,9,6,Net Banking,1
4424.77,ATM Withdrawal,23.0,Mobile,Houston,1,79,12,Net Banking,1
813.82,Online Purchase,15.0,Tablet,Seattle,0,92,1,Debit Card,1
1467.82,Bill Payment,16.0,Tablet,Houston,2,86,14,Net Banking,1
73.81,Bank Transfer,13.0,Desktop,Boston,1,43,4,Net Banking,1
389.77,Bill Payment,13.0,Tablet,Houston,4,58,12,Credit Card,1
4475.36,Bank Transfer,14.0,Mobile,Miami,3,112,8,Credit Card,1
3185.5,ATM Withdrawal,11.0,Desktop,Chicago,2,92,10,Debit Card,1
2259.04,POS Payment,6.0,Desktop,Los Angeles,3,94,5,UPI,1
2703.1,Bank Transfer,14.0,Tablet,Boston,3,93,13,UPI,1
3519.82,Online Purchase,10.0,Tablet,Boston,4,58,12,Debit Card,1
4442.42,Bank Transfer,8.0,Mobile,Houston,2,117,10,Debit Card,1
3912.79,ATM Withdrawal,20.0,Mobile,San Francisco,0,44,6,UPI,1
2061.98,Bank Transfer,18.0,Mobile,Boston,2,20,9,Debit Card,1
4114.01,Bank Transfer,16.0,Mobile,New York,4,46,2,UPI,1
2046.4,Bill Payment,18.0,Mobile,New York,4,97,5,UPI,1
49997.8,POS Payment,5.0,Desktop,Los Angeles,2,21,7,Invalid Method,1
1309.04,ATM Withdrawal,15.0,Mobile,Chicago,4,102,9,Net Banking,1
3108.99,Bill Payment,17.0,Mobile,Houston,3,119,11,Credit Card,1
2553.98,Bank Transfer,14.0,Desktop,Chicago,1,16,3,Net Banking,1
2109.24,Online Purchase,15.0,Desktop,Boston,0,115,11,Credit Card,1
426.38,Bank Transfer,21.0,Desktop,Boston,3,26,13,Net Banking,1
1681.11,POS Payment,14.0,Desktop,Chicago,1,5,10,Net Banking,1
1461.41,POS Payment,20.0,Desktop,Boston,0,30,14,Net Banking,1
3278.38,POS Payment,18.0,Mobile,Boston,1,62,13,Debit Card,1
1029.76,ATM Withdrawal,17.0,Desktop,Boston,2,101,4,Credit Card,1
2136.04,Bill Payment,16.0,Unknown Device,Chicago,3,115,12,Net Banking,1
1827.61,Online Purchase,1.0,Unknown Device,Boston,0,106,11,Credit Card,1
488.6,Bank Transfer,7.0,Tablet,Houston,4,75,11,Debit Card,1
4114.52,Bill Payment,15.0,Tablet,New York,2,42,5,Credit Card,1
1727.77,Bill Payment,4.0,Mobile,Los Angeles,1,93,3,Net Banking,1
2044.67,ATM Withdrawal,19.0,Tablet,New York,2,87,5,UPI,1
3218.89,Bill Payment,14.0,Desktop,Houston,2,30,4,UPI,1
625.92,POS Payment,14.0,Mobile,Los Angeles,1,118,2,Credit Card,1
871.73,POS Payment,10.0,Tablet,Houston,3,59,2,Debit Card,1
2697.61,Bank Transfer,19.0,Mobile,New York,1,93,13,Credit Card,1
4087.87,Online Purchase,18.0,Tablet,Seattle,1,115,13,Credit Card,1
3707.6,Bill Payment,17.0,Mobile,Houston,3,1,8,Net Banking,1
2462.1,Online Purchase,22.0,Tablet,Los Angeles,2,84,11,UPI,1
266.07,Online Purchase,12.0,Desktop,Chicago,1,109,9,Debit Card,1
1704.38,POS Payment,16.0,Tablet,New York,1,75,2,Net Banking,1
4636.68,Online Purchase,3.0,Tablet,Houston,3,1,3,Net Banking,1
2855.98,ATM Withdrawal,18.0,Mobile,Houston,3,29,10,Net Banking,1
1813.31,ATM Withdrawal,14.0,Mobile,Houston,1,49,12,UPI,1
4498.19,Bank Transfer,20.0,Desktop,Houston,0,60,14,UPI,1
4910.85,Bill Payment,0.0,Desktop,Chicago,3,98,14,UPI,1
1757.59,POS Payment,22.0,Tablet,Houston,0,67,12,Invalid Method,1
4012.36,Bank Transfer,20.0,Desktop,Houston,1,115,13,UPI,1
2632.05,Online Purchase,11.0,Mobile,Houston,4,66,13,Credit Card,1
668.38,Online Purchase,9.0,Tablet,Boston,4,41,12,UPI,1
377.67,POS Payment,6.0,Desktop,Chicago,1,23,3,UPI,1
4679.12,POS Payment,11.0,Desktop,Miami,2,103,10,Credit Card,1
3309.84,Bill Payment,10.0,Desktop,Chicago,1,99,1,Net Banking,1
676.64,Bill Payment,15.0,Desktop,Los Angeles,0,100,4,UPI,1
4808.09,POS Payment,23.0,Mobile,Boston,0,111,4,Credit Card,1
2754.24,Bill Payment,19.0,Desktop,San Francisco,1,115,7,UPI,1
4456.69,Bill Payment,16.0,Tablet,Los Angeles,1,90,6,Credit Card,1
2850.32,POS Payment,18.0,Desktop,Chicago,2,41,9,Credit Card,1
1060.35,Bill Payment,23.0,Tablet,Chicago,0,69,13,Credit Card,1
4838.39,ATM Withdrawal,3.0,Tablet,Houston,4,84,6,UPI,1
326.09,POS Payment,19.0,Desktop,Boston,2,54,4,Debit Card,1
3577.66,POS Payment,13.0,Desktop,Miami,1,98,11,Debit Card,1
1829.16,Bank Transfer,1.0,Tablet,Chicago,2,75,4,Credit Card,1
2036.57,Bank Transfer,22.0,Desktop,Houston,4,67,13,UPI,1
1196.84,POS Payment,15.0,Tablet,Boston,2,119,6,UPI,1
2030.72,Bill Payment,23.0,Tablet,New York,2,54,9,Credit Card,1
4103.04,Bank Transfer,20.0,Mobile,Boston,4,80,5,Net Banking,1
508.04,Bank Transfer,8.0,Tablet,Los Angeles,2,74,4,Debit Card,1
4184.65,Bank Transfer,22.0,Mobile,Seattle,3,64,7,Net Banking,1
2373.68,Online Purchase,18.0,Desktop,Chicago,2,16,1,Debit Card,1
762.89,Bank Transfer,0.0,Tablet,Los Angeles,1,108,4,Net Banking,1
2105.06,Online Purchase,14.0,Desktop,Boston,1,83,9,Credit Card,1
340.95,POS Payment,19.0,Tablet,New York,3,78,7,UPI,1
693.77,POS Payment,14.0,Mobile,Miami,4,26,1,Credit Card,1
4854.03,ATM Withdrawal,21.0,Tablet,Chicago,0,54,12,Credit Card,1
3866.74,Bill Payment,18.0,Desktop,San Francisco,4,101,10,UPI,1
3541.07,Bill Payment,22.0,Desktop,New York,3,97,11,UPI,1
528.14,Bank Transfer,11.0,Tablet,Houston,1,20,7,Credit Card,1
4900.81,Bill Payment,17.0,Tablet,Miami,2,84,14,Net Banking,1
4629.41,Online Purchase,8.0,Mobile,Miami,0,21,1,Credit Card,1
3029.12,Online Purchase,4.0,Mobile,Los Angeles,2,107,12,UPI,1
2428.64,Online Purchase,10.0,Tablet,Los Angeles,2,44,5,Credit Card,1
398.73,Online Purchase,21.0,Desktop,Houston,3,93,5,Net Banking,1
432.41,Online Purchase,6.0,Desktop,Los Angeles,1,67,3,Credit Card,1
2868.85,Bank Transfer,21.0,Mobile,Los Angeles,3,59,2,Credit Card,1
279.1,Bill Payment,22.0,Mobile,Chicago,2,3,11,Net Banking,1
4343.67,ATM Withdrawal,21.0,Tablet,Miami,2,30,6,Net Banking,1
4304.25,Online Purchase,21.0,Unknown Device,Houston,2,100,4,Credit Card,1
3599.44,POS Payment,17.0,Desktop,Los Angeles,4,45,1,Invalid Method,1
3347.04,ATM Withdrawal,13.0,Tablet,Chicago,1,48,2,UPI,1
1692.45,Bill Payment,18.0,Desktop,Miami,1,75,14,UPI,1
396.92,POS Payment,9.0,Mobile,Los Angeles,3,47,3,Net Banking,1
953.19,Online Purchase,9.0,Tablet,Miami,2,67,7,Credit Card,1
2478.71,POS Payment,21.0,Desktop,San Francisco,4,86,2,Debit Card,1
1478.44,Bank Transfer,0.0,Tablet,Boston,4,45,3,Net Banking,1
1512.46,Online Purchase,18.0,Desktop,Houston,3,90,7,Debit Card,1
1211.51,Online Purchase,19.0,Tablet,Boston,4,80,6,Debit Card,1
4184.0,Online Purchase,21.0,Desktop,New York,2,101,5,Debit Card,1
4208.71,POS Payment,1.0,Tablet,Boston,4,83,13,Debit Card,1
2430.18,POS Payment,6.0,Tablet,Chicago,3,91,3,Debit Card,1
4606.87,POS Payment,16.0,Mobile,Boston,0,38,13,Net Banking,1
163.51,POS Payment,23.0,Tablet,Boston,0,40,8,Debit Card,1
2355.52,Online Purchase,1.0,Mobile,Houston,4,104,3,Invalid Method,1
3982.47,Bank Transfer,13.0,Tablet,San Francisco,1,77,8,Credit Card,1
2863.0,Bill Payment,21.0,Tablet,New York,3,18,4,Net Banking,1
3731.34,ATM Withdrawal,14.0,Mobile,Chicago,0,101,1,Debit Card,1
1870.33,Bill Payment,16.0,Unknown Device,Los Angeles,1,29,13,Credit Card,1
1394.52,ATM Withdrawal,13.0,Mobile,Chicago,1,41,6,Net Banking,1
4375.52,ATM Withdrawal,14.0,Desktop,Houston,0,111,3,Net Banking,1
3521.68,Bill Payment,2.0,Tablet,Chicago,1,110,3,UPI,1
465.31,Bill Payment,13.0,Tablet,New York,2,117,2,Net Banking,1
4444.01,Online Purchase,20.0,Tablet,Houston,2,87,10,Debit Card,1
4745.66,Bill Payment,14.0,Tablet,Los Angeles,3,26,3,Credit Card,1
3285.37,ATM Withdrawal,22.0,Tablet,Boston,3,90,1,Debit Card,1
3693.76,POS Payment,16.0,Mobile,Miami,0,27,2,UPI,1
3772.65,Bank Transfer,21.0,Tablet,Miami,4,104,1,Credit Card,1
960.41,POS Payment,15.0,Mobile,Houston,3,86,14,Net Banking,1
4009.36,Bill Payment,10.0,Mobile,Chicago,0,113,10,Net Banking,1
4947.13,ATM Withdrawal,19.0,Tablet,Houston,2,78,6,Net Banking,1
3112.43,ATM Withdrawal,9.0,Desktop,Boston,2,2,11,Net Banking,1
4459.57,POS Payment,1.0,Desktop,Chicago,3,50,1,Net Banking,1
259.81,Online Purchase,6.0,Mobile,Chicago,0,16,2,UPI,1
1830.21,ATM Withdrawal,2.0,Desktop,Chicago,4,75,3,Net Banking,1
3372.08,Bank Transfer,2.0,Tablet,Chicago,3,91,8,Net Banking,1
343.95,POS Payment,5.0,Desktop,Chicago,0,113,12,Net Banking,1
2902.19,Bank Transfer,3.0,Tablet,Chicago,4,42,7,Net Banking,1
4807.21,ATM Withdrawal,16.0,Desktop,San Francisco,0,106,12,Debit Card,1
4845.1,Bill Payment,18.0,Desktop,New York,4,40,11,UPI,1
422.31,Bill Payment,17.0,Tablet,Boston,3,92,8,UPI,1
4701.14,Online Purchase,20.0,Mobile,Boston,3,54,10,Net Banking,1
3890.99,Online Purchase,9.0,Desktop,San Francisco,4,104,7,UPI,1
336.09,POS Payment,19.0,Tablet,Miami,3,97,12,Net Banking,1
3255.78,ATM Withdrawal,20.0,Desktop,Chicago,2,98,1,Debit Card,1
3236.96,ATM Withdrawal,4.0,Desktop,Boston,1,116,12,Net Banking,1
492.71,POS Payment,12.0,Desktop,Los Angeles,2,81,3,Credit Card,1
379.94,POS Payment,19.0,Mobile,Houston,1,27,8,UPI,1
2092.71,ATM Withdrawal,15.0,Desktop,New York,2,109,13,Debit Card,1
4723.6,Bank Transfer,0.0,Mobile,Boston,3,73,5,Credit Card,1
4523.93,Bank Transfer,21.0,Mobile,Houston,4,36,13,Credit Card,1
2644.63,Bill Payment,22.0,Mobile,Houston,0,85,8,Debit Card,1
3828.95,Bill Payment,10.0,Tablet,Miami,0,94,6,Debit Card,1
1131.86,Bill Payment,16.0,Desktop,Houston,3,23,8,Debit Card,1
562.8,Bill Payment,2.0,Mobile,Houston,2,113,7,Net Banking,1
4941.99,Online Purchase,15.0,Desktop,Chicago,0,34,2,Debit Card,1
4717.58,POS Payment,20.0,Mobile,Chicago,3,7,10,Credit Card,1
4019.11,Bill Payment,3.0,Unknown Device,Boston,2,58,12,Net Banking,1
994.01,ATM Withdrawal,12.0,Tablet,Chicago,4,53,8,UPI,1
4815.81,POS Payment,16.0,Mobile,Boston,2,117,6,Credit Card,1
2297.33,Bill Payment,18.0,Desktop,Boston,4,50,5,Invalid Method,1
2624.15,Bank Transfer,0.0,Desktop,Los Angeles,1,101,6,Net Banking,1
2250.48,POS Payment,5.0,Desktop,Los Angeles,2,118,11,Net Banking,1
3391.8,ATM Withdrawal,2.0,Tablet,Chicago,3,54,10,UPI,1
3193.71,Online Purchase,20.0,Desktop,Chicago,4,115,7,Credit Card,1
1048.4,Bill Payment,23.0,Unknown Device,Los Angeles,4,20,11,Credit Card,1
3335.89,POS Payment,7.0,Tablet,New York,0,53,2,UPI,1
2769.67,Bill Payment,4.0,Mobile,Houston,1,98,5,Net Banking,1
2802.36,Online Purchase,10.0,Desktop,Miami,3,59,2,UPI,1
3374.99,ATM Withdrawal,6.0,Mobile,Boston,0,2,5,Debit Card,1
4839.85,Bank Transfer,14.0,Mobile,Chicago,0,105,6,Net Banking,1
108.01,POS Payment,3.0,Mobile,Chicago,2,99,9,Debit Card,1
3589.38,ATM Withdrawal,22.0,Mobile,Boston,2,34,7,Credit Card,1
4045.76,Online Purchase,8.0,Mobile,New York,4,89,3,Net Banking,1
3998.64,Bank Transfer,1.0,Mobile,San Francisco,4,117,1,Credit Card,1
4085.85,Online Purchase,3.0,Desktop,Los Angeles,3,88,4,Net Banking,1
250.66,Online Purchase,12.0,Tablet,Houston,2,11,1,Credit Card,1
1126.99,Bill Payment,21.0,Tablet,Miami,2,64,4,UPI,1
4662.11,Bill Payment,10.0,Tablet,Houston,1,56,6,Net Banking,1
371.92,POS Payment,10.0,Desktop,Boston,0,35,4,Credit Card,1
2194.17,Bank Transfer,10.0,Desktop,Houston,4,103,3,Debit Card,1
3164.57,Online Purchase,18.0,Desktop,Seattle,2,93,7,UPI,1
46.19,Bill Payment,21.0,Mobile,Los Angeles,2,60,5,Credit Card,1
4512.65,POS Payment,22.0,Desktop,Chicago,2,66,1,Credit Card,1
3239.3,POS Payment,17.0,Desktop,Chicago,3,33,3,Credit Card,1
517.16,Online Purchase,20.0,Desktop,New York,3,1,2,Net Banking,1
1865.73,Bill Payment,13.0,Tablet,Boston,0,58,3,UPI,1
49997.8,Online Purchase,6.0,Mobile,New York,4,34,8,Debit Card,1
1596.01,ATM Withdrawal,23.0,Mobile,New York,2,76,6,Credit Card,1
2676.1,Bank Transfer,0.0,Desktop,Boston,2,12,5,Invalid Method,1
3205.61,POS Payment,15.0,Mobile,Los Angeles,4,4,7,Debit Card,1
3310.51,Online Purchase,18.0,Desktop,Chicago,2,35,13,Credit Card,1
2697.33,ATM Withdrawal,11.0,Desktop,Chicago,0,13,2,Debit Card,1
629.0,POS Payment,16.0,Mobile,Houston,4,20,1,Net Banking,1
3237.75,POS Payment,2.0,Desktop,Miami,1,56,1,Debit Card,1
2375.49,Bill Payment,4.0,Tablet,Houston,4,113,2,Credit Card,1
848.3,Online Purchase,10.0,Tablet,Chicago,1,110,5,Net Banking,1
1435.05,Online Purchase,13.0,Tablet,Chicago,2,82,2,Credit Card,1
2067.77,Bill Payment,22.0,Mobile,Chicago,3,84,5,Credit Card,1
4454.74,Bank Transfer,1.0,Mobile,Miami,2,59,2,Net Banking,1
734.05,Online Purchase,6.0,Mobile,Los Angeles,0,17,1,Credit Card,1
4960.08,Online Purchase,18.0,Desktop,San Francisco,2,74,12,UPI,1
4594.69,ATM Withdrawal,18.0,Desktop,Boston,3,52,8,Net Banking,1
2057.51,POS Payment,19.0,Mobile,Los Angeles,0,112,7,Net Banking,1
2942.88,ATM Withdrawal,9.0,Mobile,Houston,1,112,1,UPI,1
3972.33,Bank Transfer,8.0,Mobile,Chicago,0,75,14,Debit Card,1
4844.97,Bank Transfer,4.0,Mobile,New York,2,89,5,Net Banking,1
2824.61,POS Payment,2.0,Desktop,Chicago,2,14,3,Credit Card,1
4062.16,POS Payment,17.0,Desktop,Houston,4,108,9,Debit Card,1
1111.21,ATM Withdrawal,19.0,Tablet,Houston,1,11,2,Debit Card,1
2272.01,Bill Payment,18.0,Tablet,New York,4,54,4,Debit Card,1
1947.85,ATM Withdrawal,7.0,Desktop,Chicago,2,54,13,UPI,1
4662.11,ATM Withdrawal,10.0,Mobile,Miami,1,90,2,Debit Card,1
847.84,Online Purchase,0.0,Mobile,Chicago,3,92,3,Debit Card,1
4615.25,Bank Transfer,11.0,Mobile,Chicago,1,4,13,UPI,1
3481.83,Bill Payment,16.0,Mobile,San Francisco,2,109,3,UPI,1
2796.14,POS Payment,23.0,Tablet,San Francisco,3,52,8,Debit Card,1
170.68,POS Payment,1.0,Tablet,Boston,3,63,8,UPI,1
1479.07,Bill Payment,1.0,Desktop,Chicago,0,112,13,UPI,1
4036.26,POS Payment,12.0,Desktop,Los Angeles,4,33,4,Credit Card,1
2758.39,POS Payment,14.0,Unknown Device,Chicago,1,30,11,Debit Card,1
533.52,Bill Payment,8.0,Tablet,Chicago,1,7,4,Debit Card,1
3512.45,Bank Transfer,16.0,Desktop,Houston,3,115,6,Debit Card,1
2261.89,Bank Transfer,22.0,Mobile,Seattle,2,109,3,Net Banking,1
4184.33,Online Purchase,17.0,Desktop,San Francisco,1,95,1,Debit Card,1
4849.81,Online Purchase,3.0,Mobile,Houston,0,99,5,Credit Card,1
897.06,Online Purchase,6.0,Mobile,Los Angeles,3,89,2,Net Banking,1
1591.4,Bank Transfer,22.0,Desktop,Boston,2,4,1,Net Banking,1
694.31,Bill Payment,22.0,Desktop,Houston,4,72,4,UPI,1
2521.39,ATM Withdrawal,6.0,Mobile,Boston,2,95,11,Debit Card,1
2411.9,ATM Withdrawal,18.0,Mobile,Houston,2,84,6,UPI,1
49997.8,Online Purchase,2.0,Desktop,New York,4,20,1,Net Banking,1
2823.58,Bill Payment,5.0,Tablet,Chicago,0,70,6,Net Banking,1
4578.03,ATM Withdrawal,16.0,Desktop,Chicago,3,71,14,Debit Card,1
1909.45,Bill Payment,7.0,Tablet,San Francisco,0,115,1,Debit Card,1
1021.27,POS Payment,10.0,Mobile,Chicago,2,77,3,Net Banking,1
2505.31,ATM Withdrawal,16.0,Tablet,Los Angeles,0,102,10,UPI,1
3775.92,Online Purchase,5.0,Mobile,Houston,3,46,1,UPI,1
950.36,Bank Transfer,7.0,Tablet,Los Angeles,1,20,1,Credit Card,1
4095.21,Bank Transfer,3.0,Unknown Device,Chicago,3,46,11,Net Banking,1
3304.51,Online Purchase,20.0,Mobile,Miami,4,31,11,Net Banking,1
257.32,Bill Payment,23.0,Tablet,Boston,4,26,4,Credit Card,1
402.18,Online Purchase,5.0,Tablet,Chicago,2,77,10,Net Banking,1
3435.02,Bill Payment,20.0,Mobile,San Francisco,4,21,4,Credit Card,1
533.43,Online Purchase,19.0,Mobile,Houston,2,16,1,Net Banking,1
4940.53,ATM Withdrawal,16.0,Tablet,Seattle,4,106,3,UPI,1
1863.4,ATM Withdrawal,12.0,Desktop,Chicago,4,14,6,UPI,1
60.67,POS Payment,17.0,Desktop,San Francisco,4,101,2,Net Banking,1
2797.7,POS Payment,21.0,Mobile,San Francisco,4,62,1,Debit Card,1
2655.34,ATM Withdrawal,23.0,Tablet,San Francisco,2,107,7,UPI,1
3589.87,ATM Withdrawal,21.0,Unknown Device,Miami,3,112,2,UPI,1
3206.34,Online Purchase,1.0,Desktop,Boston,0,61,1,Net Banking,1
3669.45,Bill Payment,23.0,Tablet,Seattle,2,8,3,UPI,1
3011.94,Bank Transfer,9.0,Desktop,Chicago,4,34,1,Net Banking,1
1288.75,Online Purchase,12.0,Desktop,Chicago,4,110,3,UPI,1
2406.02,Online Purchase,12.0,Tablet,San Francisco,1,92,1,Net Banking,1
2280.81,ATM Withdrawal,16.0,Desktop,Boston,2,90,8,Net Banking,1
3403.95,Bank Transfer,0.0,Mobile,Houston,1,47,2,UPI,1
4873.51,Bill Payment,20.0,Tablet,Houston,4,101,7,Debit Card,1
2058.07,Bank Transfer,9.0,Desktop,Chicago,2,98,13,Debit Card,1
4133.02,Online Purchase,4.0,Tablet,Boston,0,69,2,Net Banking,1
854.82,POS Payment,21.0,Tablet,Boston,2,118,7,UPI,1
721.36,ATM Withdrawal,20.0,Unknown Device,Miami,3,18,3,Invalid Method,1
4295.73,Bank Transfer,21.0,Tablet,Los Angeles,4,63,10,Invalid Method,1
2567.78,Online Purchase,20.0,Tablet,Los Angeles,0,74,8,Debit Card,1
1428.06,POS Payment,15.0,Tablet,Miami,4,37,7,Debit Card,1
1342.76,Online Purchase,15.0,Tablet,Chicago,2,45,13,Debit Card,1
2179.16,Online Purchase,18.0,Mobile,Boston,2,81,1,Net Banking,1
1760.44,POS Payment,6.0,Mobile,Boston,2,118,13,UPI,1
1031.63,ATM Withdrawal,11.0,Mobile,Chicago,0,41,1,Credit Card,1
